name,type,latitude,longitude,osm_id
Mahatma Gandhi Memorial Government Hospital,hospital,10.8116543,78.6773859,way/989173710
Dhanalakshmi Srinivasan Medical College & Hospital,hospital,11.1975968,78.8727861,way/1000546403
Srm Speciality Hospital,hospital,13.0331325,80.1810857,node/1015571498
SRM Dental Hospital,hospital,13.0321291,80.1801201,node/1015571601
St Thomas Hospital and Leprosy Center,hospital,12.4653712,79.3362437,way/1016784831
Adhiparasakthi Hospital & Research Institute,hospital,12.4324395,79.8121125,way/1017039643
Melmaruvathur Adhiparasakthi Institute of Mediccal Science and Research,hospital,12.4345286,79.8132492,way/1017039645
Melmaruvathur Adhiparasakthi Institute of Medical Sciences and Research,hospital,12.4339441,79.8279342,way/1017039653
"Government Hospital, Tiruchendur",hospital,8.4992244,78.1185933,way/1025084391
Chengalpattu Medical College Hospital,hospital,12.675914,79.9807155,way/1026902286
"Surya Hospital, Coimbatore",hospital,11.0390101,76.979517,node/1039493036
Fair Pharma,hospital,10.8927566,76.9246984,node/1051328350
Vasan eye Care Hospital,hospital,10.9560967,76.9540004,node/1051328428
Sri Annai ENT Clinic,clinic,8.6987366,77.728523,way/1064288887
Pulicat Government Hospital,hospital,13.4191684,80.3177332,way/1075113443
Central Hospital For Beedi Workers,hospital,8.7363595,77.5184584,way/1078660039
"Government Hospital, Thiruvaiyaru",hospital,10.8839771,79.1096534,way/1078863152
Vadamalayan Hospitals,hospital,10.3807739,77.9689927,way/1079171506
KHM Medical Centre,clinic,13.0914517,80.2889213,way/1089785795
Government Siddha Medical College and Hospital,hospital,8.7246574,77.7326837,way/1092912286
Chennai National Hospital Speciality Clinics,hospital,13.094813,80.2914574,way/1104433136
Govt Hospital Mettur,hospital,11.7959119,77.7987959,way/1109200919
SA Hospital,hospital,13.0991366,80.2868807,way/1110191307
Aakash Fertility Centre & Hospital,hospital,13.0554597,80.2118365,node/1127285905
Rajakkamangalam PHC,hospital,8.1158029,77.3803867,way/1130840278
Annai Velankanni Hospital,hospital,8.1678139,77.4198988,way/1150601275
Rajan Eye Care Hospital,hospital,13.0508335,80.2434416,node/1152858038
Vels Medical College and Hospital,hospital,13.2675711,80.122826,way/1154910967
Prashanth Superspeciality Hospital Kolathur,hospital,13.1400478,80.2176872,way/1155182281
Dr. V. Ramakrishnan Clinic,clinic,11.0086635,77.081108,way/1159633730
Hamsa Nursing Home,clinic,12.9556505,79.3050558,way/1166185998
Government Primary Healthcare Centre,hospital,12.9916638,79.2547376,way/1169319670
Kadambathur Government Hospital,hospital,13.0993485,79.8591936,way/1172617297
Shaarave Hospital,hospital,13.0983937,80.2798773,way/1176875169
Mother Diagnostic Centre,clinic,13.1030164,80.2843951,way/1180441173
The Arya Vysya Meternity Home and Child Welfare Centre,hospital,13.0910905,80.2813876,way/1180926082
Avadi Hospital,hospital,13.1174941,80.1008132,node/1185699253
Attupakkam Government Hospital,hospital,12.9900752,79.661437,way/1197979254
"Government Hospital, Kodaikanal",hospital,10.2371081,77.4923497,way/1206221441
Van Allen Hospital,hospital,10.2318383,77.4939711,way/1207079216
"UPHC, Kodaikanal",hospital,10.2402835,77.5023222,way/1207201554
Chellaih Clinic,clinic,8.748685,78.1285346,way/1226697659
Vihas Hospital,hospital,10.8190868,78.6777472,way/1226763699
Aishwarya Clinic,clinic,10.8018152,78.6954892,way/1229049984
Varshini Hospitals,hospital,10.7691144,78.684288,way/1231163695
Gandhiji Iyarkai Maruthuva Manai,clinic,8.7260639,77.6613131,way/1232607314
"KGM, Chinniampalayam",hospital,11.0570076,77.067239,way/1234645168
Cherish Hospital,hospital,13.1297067,80.1309846,way/1234813078
Dr. Nathaji Nursing Home,hospital,12.8302996,79.7031901,node/1238733084
Krishna Nursing Home,hospital,11.0153062,76.9595053,way/1240248192
Mint Hospital,hospital,13.100229,80.2837595,way/1241298308
NSR Cancer Centre,clinic,11.0121496,76.9862308,way/1249640585
Lenin Ortho Clinic,clinic,11.0069398,77.0272274,way/1252960262
AB Child Care Hospital,hospital,11.0006913,77.028744,way/1252960440
Jhayakhar Clinic,clinic,11.0070941,77.0257616,way/1252960651
Martin Homoeopathy,hospital,11.0051006,77.027114,way/1252961263
Happy Kids Clinic,clinic,11.0061278,77.0254131,way/1252961373
Vinitha Multi Speciality Hospital,hospital,13.0544844,80.2453874,way/1264854948
Dr. Mehta's Hospitals - Global Campus,hospital,13.0617739,80.1356616,way/1289802426
Punarnava Ayurveda,hospital,10.9830163,76.9995841,way/1311199045
Government child birth Hospital,hospital,13.0765495,80.2245565,way/1314584114
sree dhanalakshmi family clinic,hospital,13.0583046,80.211745,node/1315895438
