name,religion,type,latitude,longitude,osm_id
Athar Jamaath Masjid,muslim,place_of_worship,10.9935623,76.9594291,node/9567217471
Masjid E Haqqani,muslim,place_of_worship,13.0504063,80.2126842,node/9568036513
Aysha Masjid,muslim,place_of_worship,13.0842033,80.2560476,node/9729349117
Mohaideed Durga,muslim,place_of_worship,8.6060628,77.9465045,node/9735549327
Nalla Ibrahim Bava Dargah,muslim,place_of_worship,9.2080545,78.7101857,node/9861131541
Ervadi Dargah,muslim,place_of_worship,9.2084414,78.710024,node/9861131542
Masjidus Salaam Jumma Masjid,muslim,place_of_worship,8.7278318,77.751927,node/9935812017
Jumma Masjid,muslim,place_of_worship,8.7371613,77.6707881,node/9946222682
Kulathu Palli,muslim,place_of_worship,8.7243993,77.6570812,node/9946246298
Sathiram Pallivasal,muslim,place_of_worship,8.7282443,77.7041958,node/9953981192
Al Ameen Masjid,muslim,place_of_worship,10.7536191,79.5036274,node/10116747284
Big Masjid,muslim,place_of_worship,10.7495146,79.5037238,node/10116747285
West Masjid,muslim,place_of_worship,10.7502265,79.5000473,node/10116747286
VKM Habula Masjid,muslim,place_of_worship,10.7568569,79.5010512,node/10116747287
Thawheed Marcus,muslim,place_of_worship,10.7499187,79.5077097,node/10116747288
Kattu Jumma Masjid,muslim,place_of_worship,8.6995329,77.7068085,node/10252330518
Government Quarter Mosque,muslim,place_of_worship,13.02224,80.2312857,node/10574444998
Anakuppam Mosque,muslim,place_of_worship,11.7548345,79.7709801,node/10712382474
Masjid ul mubarak,muslim,place_of_worship,13.015029,80.2088169,node/11158602743
Masjid ul Mubarak,muslim,place_of_worship,13.0150033,80.2088174,node/11158624064
Rahmat Juma Masjid,muslim,place_of_worship,8.6821751,77.4701837,node/11812339188
Masjid E Aqsa / Eidgah Masjid,muslim,place_of_worship,12.4978276,78.5650934,node/12038665887
Kathib Noor Mohammed Mosque,muslim,place_of_worship,11.7742497,79.6721931,node/12052921949
Masjid Al-Aqsa,muslim,place_of_worship,11.7733847,79.6740189,node/12052937865
Ar Rahman Masjid Ahle Hadees,muslim,place_of_worship,11.7747572,79.6735209,node/12053018248
Baidul Ashar Jumma Mosque,muslim,place_of_worship,8.9218773,78.1829293,node/12077101270
Oppilan Pallivasal Mosque,muslim,place_of_worship,9.1434363,78.5046686,node/12077176666
MSEC Boys Mosque,muslim,place_of_worship,9.2407854,78.7605771,node/12077265128
Kaanjirankudi Jumma Mosque,muslim,place_of_worship,9.2531499,78.8120482,node/12077330287
Nurul Hudha Masjid,muslim,place_of_worship,10.767944,79.4174552,node/12139856610
Hussainiya,muslim,place_of_worship,10.771216,79.4132501,node/12139886411
MIET Masjid,muslim,place_of_worship,10.7286445,78.7092001,node/12139886788
Masjidul Huda,muslim,place_of_worship,10.7195512,78.7216797,node/12139893320
Jamia Masjid,muslim,place_of_worship,10.7713092,79.4247995,node/12139896997
SEMPATTU MASJID,muslim,place_of_worship,10.7443298,78.714624,node/12139924685
Unnamed mosque,muslim,place_of_worship,12.5531749,78.1899429,node/12144452133
Pudhupalli masjid,muslim,place_of_worship,8.5661476,78.1212286,node/12161644417
Shaik hussain masjid,muslim,place_of_worship,8.5641027,78.1203296,node/12161644418
Haji appa palli masjid,muslim,place_of_worship,8.5642671,78.1230702,node/12161644419
Arampalli masjid,muslim,place_of_worship,8.5636597,78.1246493,node/12161644420
Kuruni thurai palli masjid,muslim,place_of_worship,8.5632077,78.1283729,node/12161644422
Al-bukhari shareef,muslim,place_of_worship,8.5633092,78.129469,node/12161644423
Maraikar palli masjid,muslim,place_of_worship,8.5597616,78.1271034,node/12161644424
Appa palli masjid,muslim,place_of_worship,8.5595129,78.1256664,node/12161644425
Thayyam palli masjid,muslim,place_of_worship,8.5604331,78.1236669,node/12161644426
Masji hafil ameer palli,muslim,place_of_worship,8.5581011,78.1212666,node/12161644427
Sahib appa thaika,muslim,place_of_worship,8.5669574,78.121964,node/12161644436
Kaatu thaika aroosiya palli masjid,muslim,place_of_worship,8.5682409,78.1226173,node/12161644437
Maghudoom jummah masjid,muslim,place_of_worship,8.5657099,78.1235947,node/12161644442
Zaviathul Fasiathush Shathulia palli,muslim,place_of_worship,8.5648742,78.1255551,node/12161644452
Shirupalli jummah masjid,muslim,place_of_worship,8.5659957,78.126578,node/12161644457
Masjid - Mikaeel (Irattai Kulathu) Palli,muslim,place_of_worship,8.5693966,78.1266199,node/12161644462
Karupudayar Masjid,muslim,place_of_worship,8.5688137,78.1299926,node/12161644467
Masjid - Seyyidina Bilal Palli,muslim,place_of_worship,8.5719788,78.1289413,node/12161644472
KMT Palli,muslim,place_of_worship,8.5564608,78.1221922,node/12161644473
Masjid - Koman Mottaiyar Palli,muslim,place_of_worship,8.576096,78.1275632,node/12161644478
"Navalpur Jamiya Masjid, Ranipet",muslim,place_of_worship,12.9355028,79.3328211,node/12291633454
Masjidul Quba,muslim,place_of_worship,11.4933612,78.0315823,node/12347240592
Muslim -Kodamandapatti Panchayat,muslim,place_of_worship,12.324385,78.4441267,node/12443059966
Masjidhe Mubarak and Madarasa,muslim,place_of_worship,13.1863118,80.3168028,node/12458643749
Sunnah Jamaat Jumuah Masjid,muslim,place_of_worship,12.8437278,79.700488,node/12837188990
Hazarath Syed Shah Hameed Auliya Badusha (rah) Darga Sherieff,muslim,place_of_worship,12.8446652,79.7022536,node/12851113737
Sunnat Jama'ath Juma Masjid,muslim,place_of_worship,12.825286,79.7084898,node/12853522996
Jamia Masjid Puthur,muslim,place_of_worship,11.2880604,79.7164358,node/13026069051
Mamu Sugani Dargah,muslim,place_of_worship,12.8284949,79.7068357,node/13114663575
Masjid Al Aqsa,muslim,place_of_worship,9.0853773,77.3420079,node/13265083036
Masjid Al Ansar Markaz Mosque,muslim,place_of_worship,9.9160401,78.1033022,node/13265397951
