name,type,latitude,longitude,osm_id
Palur Police station,police,12.7676644,79.9034914,node/4445825097
Ammapet B 6  Police Station,police,11.6530298,78.1617852,node/4446290798
Ammapet B 6  Police Station,police,11.6590023,78.1816097,node/4446318185
Annadanapatti B 4 Police Station,police,11.6424031,78.1404779,node/4446321544
Attayampati C 1 Police Station,police,11.5313534,78.050867,node/4446325349
Hastampatti B 7 Police Station,police,11.6778088,78.1645798,node/4446333993
Kannankurichi B 8 Police Station,police,11.6967465,78.1769759,node/4446337753
Karipatti Police Station,police,9.6771157,78.1034294,node/4446339678
Kitchipalayam B 5 Police Station,police,11.6472529,78.1702578,node/4446341974
Mallur Police Station,police,11.5452987,78.1428828,node/4446350980
Palapatti B 10 Police Station,police,11.6699556,78.1394849,node/4446359348
Panamarathupatti Police Station,police,11.5614945,78.1639663,node/4446368920
Police Control Room Police Station,police,11.6425701,78.1459515,node/4446378287
Suramangalam Police Station,police,11.6708007,78.1168863,node/4446385831
Shevapet B 2 Police Station,police,11.6514754,78.1522608,node/4446388122
Veeranam Police Station,police,11.6862224,78.2128652,node/4446398757
Women Ammapet W 2 Police Station,police,11.6590617,78.1818592,node/4446403140
Women Salem Town W 1 Police Station,police,11.654013,78.1601008,node/4446409862
police station s11,police,12.9254171,80.1128984,node/4446984572
Somangalam police station,police,12.9459306,80.0355638,node/4446987278
thiroporur police station,police,12.7236799,80.1887292,node/4446991785
Uthiranerur police station,police,12.6162879,79.7537657,node/4446993625
Acirapakkam Police Station,police,12.403834,79.8174314,node/4446999050
Sriperumbudur Police Station,police,12.9637993,79.9491741,node/4446999051
Cheyyar Police Station,police,12.6667419,79.540611,node/4449926670
J.J Nagar Police Booth (V3),police,13.0876952,80.1878894,node/4449967759
Anna Nagar Police Station,police,9.9354414,78.1442838,node/4449972552
D6 Police Station,police,12.7890654,80.0309867,node/4449998376
Orathi Police Station,police,12.3806752,79.6928343,node/4450005607
Thalambur Police Station,police,12.8469006,80.2271771,node/4450010503
Temple police station,police,9.2893241,79.3185256,node/4471710291
West Police Station,police,9.5924531,77.9534737,node/4546946582
Viruthampattu police station,police,12.9534269,79.1414205,node/4693434975
Gandhi Market Police Station,police,10.8161795,78.6944015,node/4701650874
Unnamed police station,police,11.7189488,79.7696453,node/4707055100
Arakkonam Town Police Station,police,13.0838611,79.6699654,node/4748988045
Kadampuliyur Police Station,police,11.7025877,79.5509081,node/4881957124
H1 - Kulithalai Police Station,police,10.9407757,78.4198168,node/4951080243
District Commissioner Office,police,10.780682,78.7015497,node/5079396769
Police Assistance Booth,police,13.0699263,80.2714181,node/5079397364
Mandiyur Police Station,police,10.6596787,78.7408896,node/5079397452
District Police Office,police,10.7849428,78.699011,node/5079397456
Police Quarters,police,11.7516072,79.7602431,node/5225890331
Cuddalore New Town Police Station,police,11.7513011,79.7610182,node/5225891829
Police Booth,police,13.1037724,80.0585425,node/5226071789
T9 Police Station Pattabiram,police,13.1222511,80.0624155,node/5226197960
J-10 Semmenchery Police Station,police,12.9008558,80.2280156,node/5226262920
Police Station,police,10.7743667,79.1328753,node/5232302356
Tamil nadu special police battalion,police,10.7901246,78.6825796,node/5234779869
Ayyampettai Police Station,police,10.8905055,79.1890064,node/5235144279
Karunya nagar police station,police,10.941951,76.7536848,node/5338402894
Police Booth,police,13.0149758,80.1816427,node/5367536437
Prohibition Check Post,police,11.9827095,79.8450868,node/5601012628
B6 Kandamangalam Police Station,police,11.9189716,79.6785747,node/5692259731
G3,police,10.3406203,79.3854808,node/5893838815
Police Station - Annamalai Nagar,police,11.3869698,79.7111529,node/6029686231
Paramathi velur police station,police,11.1098949,78.0096057,node/6169678221
Jedarpalayam Police station,police,11.1496887,77.8921407,node/6176739305
Kangeyam Police Station,police,11.0011411,77.562688,node/6209719671
Unnamed police station,police,10.3828047,78.8189833,node/6236032560
T-11 Tiruninravur Police Station,police,13.1251137,80.0286037,node/6354550885
Pattamadai Police Station,police,8.6671909,77.5840969,node/6765543397
Railway Police,police,13.0341367,80.2664405,node/6780251054
Alagappapuram Police Station,police,10.0807228,78.7936167,node/6859575314
North Police Station,police,10.0754828,78.7791774,node/6859609827
Ketti Village Police Station,police,11.3816825,76.7358475,node/7067369294
Police Station Rasipuram,police,11.4617825,78.1847411,node/7161554515
"Diatrict Police Station, Kallakurichi",police,11.7030001,78.9430882,node/7169322645
Temple Police Station,police,9.2870953,79.3098772,node/7199661754
West Police Station,police,10.958471,79.3748958,node/7216689413
Police Checkpost,police,10.2648663,77.5394683,node/7279582468
Anjugramam Police Station,police,8.1487731,77.5704974,node/7476292498
pachal police station,police,12.270105,78.9416793,node/7880331736
Police station,police,8.9387509,77.4491522,node/7880514352
Arakandanallur Police station,police,11.9741088,79.2255456,node/7881407653
Police station,police,10.7526081,78.8228808,node/7973358298
R10 MGR Nagar Police Station,police,13.0310886,80.2017034,node/8096280337
R6 Police Booth,police,13.026501,80.2116238,node/8108600154
Kunnathur Police Station,police,11.2730826,77.4111808,node/8151962606
Police Help Line,police,10.0732901,78.7813961,node/8477523432
"Narikudi, Virudhunagar",police,9.5890379,78.3162074,node/8541101418
Ponnamaravathy,police,10.2764499,78.5388542,node/8541104017
Railway Protection Force,police,10.0680319,78.7918841,node/8616517717
Velachery Police Station,police,12.9809435,80.2209233,node/8645780209
Wellington Police Station,police,11.3547876,76.7846127,node/8766962805
DSP office,police,11.3430657,76.7908448,node/8770991976
SP Bungalow,police,10.3609025,77.9868464,node/9104697728
S.P. Police Station,police,10.3609973,77.986485,node/9104697729
"Police Station, Kattumannarkoil",police,11.2748874,79.5467232,node/9135062024
